rid,winningTime,ncond,class,age,decimalPrice,isFav,outHandicap,RPR,OR,TR,runners,res_win
163262,102.09,0,5,11,0.0833333333333333,0.0,2.54135893648449,74.0,76.0,32.0,7.0,0.0
169060,329.61,5,1,9,0.0769230769230769,0.0,2.54135893648449,151.0,142.0,125.0,12.0,1.0
169060,329.61,5,1,7,0.1428571428571428,0.0,2.54135893648449,152.0,147.0,125.0,12.0,0.0
169060,329.61,5,1,8,0.0909090909090909,0.0,2.54135893648449,153.0,153.0,127.0,12.0,0.0
169060,329.61,5,1,8,0.1176470588235294,0.0,2.54135893648449,150.0,155.0,123.0,12.0,0.0
169060,329.61,5,1,6,0.0833333333333333,0.0,2.54135893648449,141.0,154.0,111.0,12.0,0.0
169060,329.61,5,1,7,0.25,1.0,2.54135893648449,138.0,161.0,106.0,12.0,0.0
169060,329.61,5,1,10,0.1176470588235294,0.0,2.54135893648449,93.0,149.0,63.0,12.0,0.0
169060,329.61,5,1,7,0.0909090909090909,0.0,2.54135893648449,78.0,138.0,44.0,12.0,0.0
102321,289.4,10,4,5,0.4444444444444444,0.0,2.54135893648449,115.0,74.67707319605019,80.0,6.0,1.0
102321,289.4,10,4,7,0.5454545454545454,1.0,2.54135893648449,113.0,74.67707319605019,74.0,6.0,0.0
102321,289.4,10,4,6,0.0909090909090909,0.0,2.54135893648449,96.0,74.67707319605019,58.0,6.0,0.0
105147,248.5,5,0,5,0.2857142857142857,0.0,2.54135893648449,135.0,74.67707319605019,110.0,14.0,1.0
105147,248.5,5,0,6,0.0909090909090909,0.0,2.54135893648449,126.0,74.67707319605019,109.0,14.0,0.0
105147,248.5,5,0,7,0.0384615384615384,0.0,2.54135893648449,117.0,74.67707319605019,100.0,14.0,0.0
105147,248.5,5,0,6,0.1818181818181818,0.0,2.54135893648449,110.0,74.67707319605019,90.0,14.0,0.0
105147,248.5,5,0,5,0.0294117647058823,0.0,2.54135893648449,104.0,74.67707319605019,83.0,14.0,0.0
105147,248.5,5,0,6,0.4210526315789473,1.0,2.54135893648449,104.0,74.67707319605019,82.0,14.0,0.0
